xbrl_name,formatted_name
BankLoanAmountInForeignCurrency_BankRakyatIndonesiaPerseroTbkMember_JPYMember,"Bank Rakyat Indonesia (Persero) Tbk - JPY - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankRakyatIndonesiaPerseroTbkMember_JPYMember,"Bank Rakyat Indonesia (Persero) Tbk - JPY - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankRakyatIndonesiaPerseroTbkMember_SGDMember,"Bank Rakyat Indonesia (Persero) Tbk - SGD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankRakyatIndonesiaPerseroTbkMember_SGDMember,"Bank Rakyat Indonesia (Persero) Tbk - SGD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankRakyatIndonesiaPerseroTbkMember_THBMember,"Bank Rakyat Indonesia (Persero) Tbk - THB - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankRakyatIndonesiaPerseroTbkMember_THBMember,"Bank Rakyat Indonesia (Persero) Tbk - THB - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankRakyatIndonesiaPerseroTbkMember_USDMember,"Bank Rakyat Indonesia (Persero) Tbk - USD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankRakyatIndonesiaPerseroTbkMember_USDMember,"Bank Rakyat Indonesia (Persero) Tbk - USD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankRakyatIndonesiaPerseroTbkMember_OtherCurrencyMember,"Bank Rakyat Indonesia (Persero) Tbk - Mata uang lainnya - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankRakyatIndonesiaPerseroTbkMember_OtherCurrencyMember,"Bank Rakyat Indonesia (Persero) Tbk - Mata uang lainnya - Jumlah utang bank, kotor"
TotalBankLoanGross_BankRakyatIndonesiaPerseroTbkMember,"Bank Rakyat Indonesia (Persero) Tbk - Total - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankMandiriPerseroTbkMember_IDRMember,"Bank Mandiri (Persero) Tbk - IDR - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankMandiriPerseroTbkMember_IDRMember,"Bank Mandiri (Persero) Tbk - IDR - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankMandiriPerseroTbkMember_AUDMember,"Bank Mandiri (Persero) Tbk - AUD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankMandiriPerseroTbkMember_AUDMember,"Bank Mandiri (Persero) Tbk - AUD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankMandiriPerseroTbkMember_CADMember,"Bank Mandiri (Persero) Tbk - CAD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankMandiriPerseroTbkMember_CADMember,"Bank Mandiri (Persero) Tbk - CAD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankMandiriPerseroTbkMember_CNYMember,"Bank Mandiri (Persero) Tbk - CNY - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankMandiriPerseroTbkMember_CNYMember,"Bank Mandiri (Persero) Tbk - CNY - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankMandiriPerseroTbkMember_EURMember,"Bank Mandiri (Persero) Tbk - EUR - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankMandiriPerseroTbkMember_EURMember,"Bank Mandiri (Persero) Tbk - EUR - Jumlah utang bank, kotor"
