xbrl_name,formatted_name
TotalLoansGross_RupiahMember_PropertyMember_Doubtful,Properti - Rupiah - Diragukan
TotalLoansGross_RupiahMember_PropertyMember_Loss,Properti - Rupiah - Macet
TotalLoansGross_RupiahMember_OtherSectorsMember,Lain-lain - Rupiah - Total
TotalLoansGross_RupiahMember_OtherSectorsMember_CurrentMember,Lain-lain - Rupiah - Lancar
TotalLoansGross_RupiahMember_OtherSectorsMember_SpecialMention,Lain-lain - Rupiah - Dalam perhatian khusus
TotalLoansGross_RupiahMember_OtherSectorsMember_Substandard,Lain-lain - Rupiah - Kurang lancar
TotalLoansGross_RupiahMember_OtherSectorsMember_Doubtful,Lain-lain - Rupiah - Diragukan
TotalLoansGross_RupiahMember_OtherSectorsMember_Loss,Lain-lain - Rupiah - Macet
TotalLoansGross_RupiahMember,Subtotal - Rupiah
TotalLoansGross_RupiahMember_CurrentMember,Subtotal - Rupiah - Lancar
TotalLoansGross_RupiahMember_SpecialMention,Subtotal - Rupiah - Dalam perhatian khusus
TotalLoansGross_RupiahMember_Substandard,Subtotal - Rupiah - Kurang lancar
TotalLoansGross_RupiahMember_Doubtful,Subtotal - Rupiah - Diragukan
TotalLoansGross_RupiahMember_Loss,Subtotal - Rupiah - Macet
TotalLoansGross_ForeignCurrenciesMember_ManufacturingMember,Perindustrian - Mata uang asing - Total
TotalLoansGross_ForeignCurrenciesMember_ManufacturingMember_CurrentMember,Perindustrian - Mata uang asing - Lancar
TotalLoansGross_ForeignCurrenciesMember_ManufacturingMember_SpecialMention,Perindustrian - Mata uang asing - Dalam perhatian khusus
TotalLoansGross_ForeignCurrenciesMember_ManufacturingMember_Substandard,Perindustrian - Mata uang asing - Kurang lancar
TotalLoansGross_ForeignCurrenciesMember_ManufacturingMember_Doubtful,Perindustrian - Mata uang asing - Diragukan
TotalLoansGross_ForeignCurrenciesMember_ManufacturingMember_Loss,Perindustrian - Mata uang asing - Macet
TotalLoansGross_ForeignCurrenciesMember_TradingRestaurantsHotelsMember,"Perdagangan, restoran dan hotel - Mata uang asing - Total"
TotalLoansGross_ForeignCurrenciesMember_TradingRestaurantsHotelsMember_CurrentMember,"Perdagangan, restoran dan hotel - Mata uang asing - Lancar"
TotalLoansGross_ForeignCurrenciesMember_TradingRestaurantsHotelsMember_SpecialMention,"Perdagangan, restoran dan hotel - Mata uang asing - Dalam perhatian khusus"
TotalLoansGross_ForeignCurrenciesMember_TradingRestaurantsHotelsMember_Substandard,"Perdagangan, restoran dan hotel - Mata uang asing - Kurang lancar"
TotalLoansGross_ForeignCurrenciesMember_TradingRestaurantsHotelsMember_Doubtful,"Perdagangan, restoran dan hotel - Mata uang asing - Diragukan"
TotalLoansGross_ForeignCurrenciesMember_TradingRestaurantsHotelsMember_Loss,"Perdagangan, restoran dan hotel - Mata uang asing - Macet"
TotalLoansGross_ForeignCurrenciesMember_AgricultureMember,Pertanian - Mata uang asing - Total
TotalLoansGross_ForeignCurrenciesMember_AgricultureMember_CurrentMember,Pertanian - Mata uang asing - Lancar
TotalLoansGross_ForeignCurrenciesMember_AgricultureMember_SpecialMention,Pertanian - Mata uang asing - Dalam perhatian khusus
TotalLoansGross_ForeignCurrenciesMember_AgricultureMember_Substandard,Pertanian - Mata uang asing - Kurang lancar
