xbrl_name,formatted_name
TotalLoansGross_ForeignCurrenciesMember_InvestmentMember_Substandard,Investasi - Mata uang asing - Kurang lancar
TotalLoansGross_ForeignCurrenciesMember_InvestmentMember_Doubtful,Investasi - Mata uang asing - Diragukan
TotalLoansGross_ForeignCurrenciesMember_InvestmentMember_Loss,Investasi - Mata uang asing - Macet
TotalLoansGross_ForeignCurrenciesMember_SyndicatedMember,Sindikasi - Mata uang asing - Total
TotalLoansGross_ForeignCurrenciesMember_SyndicatedMember_CurrentMember,Sindikasi - Mata uang asing - Lancar
TotalLoansGross_ForeignCurrenciesMember_SyndicatedMember_SpecialMention,Sindikasi - Mata uang asing - Dalam perhatian khusus
TotalLoansGross_ForeignCurrenciesMember_SyndicatedMember_Substandard,Sindikasi - Mata uang asing - Kurang lancar
TotalLoansGross_ForeignCurrenciesMember_SyndicatedMember_Doubtful,Sindikasi - Mata uang asing - Diragukan
TotalLoansGross_ForeignCurrenciesMember_SyndicatedMember_Loss,Sindikasi - Mata uang asing - Macet
TotalLoansGross_ForeignCurrenciesMember_GovernmentProgramsMember,Program pemerintah - Mata uang asing - Total
TotalLoansGross_ForeignCurrenciesMember_GovernmentProgramsMember_CurrentMember,Program pemerintah - Mata uang asing - Lancar
TotalLoansGross_ForeignCurrenciesMember_GovernmentProgramsMember_SpecialMention,Program pemerintah - Mata uang asing - Dalam perhatian khusus
TotalLoansGross_ForeignCurrenciesMember_GovernmentProgramsMember_Substandard,Program pemerintah - Mata uang asing - Kurang lancar
TotalLoansGross_ForeignCurrenciesMember_GovernmentProgramsMember_Doubtful,Program pemerintah - Mata uang asing - Diragukan
TotalLoansGross_ForeignCurrenciesMember_GovernmentProgramsMember_Loss,Program pemerintah - Mata uang asing - Macet
TotalLoansGross_ForeignCurrenciesMember_EmployeeMember,Karyawan - Mata uang asing - Total
TotalLoansGross_ForeignCurrenciesMember_EmployeeMember_CurrentMember,Karyawan - Mata uang asing - Lancar
TotalLoansGross_ForeignCurrenciesMember_EmployeeMember_SpecialMention,Karyawan - Mata uang asing - Dalam perhatian khusus
TotalLoansGross_ForeignCurrenciesMember_EmployeeMember_Substandard,Karyawan - Mata uang asing - Kurang lancar
TotalLoansGross_ForeignCurrenciesMember_EmployeeMember_Doubtful,Karyawan - Mata uang asing - Diragukan
TotalLoansGross_ForeignCurrenciesMember_EmployeeMember_Loss,Karyawan - Mata uang asing - Macet
TotalLoansGross_ForeignCurrenciesMember_ExportMember,Ekspor - Mata uang asing - Total
TotalLoansGross_ForeignCurrenciesMember_ExportMember_CurrentMember,Ekspor - Mata uang asing - Lancar
TotalLoansGross_ForeignCurrenciesMember_ExportMember_SpecialMention,Ekspor - Mata uang asing - Dalam perhatian khusus
TotalLoansGross_ForeignCurrenciesMember_ExportMember_Substandard,Ekspor - Mata uang asing - Kurang lancar
TotalLoansGross_ForeignCurrenciesMember_ExportMember_Doubtful,Ekspor - Mata uang asing - Diragukan
TotalLoansGross_ForeignCurrenciesMember_ExportMember_Loss,Ekspor - Mata uang asing - Macet
TotalLoansGross_ForeignCurrenciesMember_OthersSubtotalLoansMember,Subjumlah pinjaman lainnya - Mata uang asing - Total
TotalLoansGross_ForeignCurrenciesMember_OthersSubtotalLoansMember_CurrentMember,Subjumlah pinjaman lainnya - Mata uang asing - Lancar
TotalLoansGross_ForeignCurrenciesMember_OthersSubtotalLoansMember_SpecialMention,Subjumlah pinjaman lainnya - Mata uang asing - Dalam perhatian khusus
TotalLoansGross_ForeignCurrenciesMember_OthersSubtotalLoansMember_Substandard,Subjumlah pinjaman lainnya - Mata uang asing - Kurang lancar
TotalLoansGross_ForeignCurrenciesMember_OthersSubtotalLoansMember_Doubtful,Subjumlah pinjaman lainnya - Mata uang asing - Diragukan
TotalLoansGross_ForeignCurrenciesMember_OthersSubtotalLoansMember_Loss,Subjumlah pinjaman lainnya - Mata uang asing - Macet
TotalLoansGross_ForeignCurrenciesMember_ConsumerMember,Konsumen - Mata uang asing - Total
TotalLoansGross_ForeignCurrenciesMember_ConsumerMember_CurrentMember,Konsumen - Mata uang asing - Lancar
TotalLoansGross_ForeignCurrenciesMember_ConsumerMember_SpecialMention,Konsumen - Mata uang asing - Dalam perhatian khusus
TotalLoansGross_ForeignCurrenciesMember_ConsumerMember_Substandard,Konsumen - Mata uang asing - Kurang lancar
TotalLoansGross_ForeignCurrenciesMember_ConsumerMember_Doubtful,Konsumen - Mata uang asing - Diragukan
TotalLoansGross_ForeignCurrenciesMember_ConsumerMember_Loss,Konsumen - Mata uang asing - Macet
TotalLoansGross_ForeignCurrenciesMember,Subtotal - Mata Uang Asing
TotalLoansGross_ForeignCurrenciesMember_CurrentMember,Subtotal - Mata Uang Asing - Lancar
TotalLoansGross_ForeignCurrenciesMember_SpecialMention,Subtotal - Mata Uang Asing - Dalam perhatian khusus
TotalLoansGross_ForeignCurrenciesMember_Substandard,Subtotal - Mata Uang Asing - Kurang lancar
TotalLoansGross_ForeignCurrenciesMember_Doubtful,Subtotal - Mata Uang Asing - Diragukan
TotalLoansGross_ForeignCurrenciesMember_Loss,Subtotal - Mata Uang Asing - Macet
TotalLoansGross,Jumlah pinjaman - Kotor - Total
TotalLoansGross_CurrentMember,Jumlah pinjaman - Kotor - Lancar
TotalLoansGross_SpecialMention,Jumlah pinjaman - Kotor - Dalam perhatian khusus
TotalLoansGross_Substandard,Jumlah pinjaman - Kotor - Kurang lancar
TotalLoansGross_Doubtful,Jumlah pinjaman - Kotor - Diragukan
TotalLoansGross_Loss,Jumlah pinjaman - Kotor - Macet
AllowanceForImpairmentLossesForLoans,Cadangan kerugian penurunan nilai pada pinjaman yang diberikan - Total
AllowanceForImpairmentLossesForLoans_CurrentMember,Cadangan kerugian penurunan nilai pada pinjaman yang diberikan - Lancar
AllowanceForImpairmentLossesForLoans_SpecialMention,Cadangan kerugian penurunan nilai pada pinjaman yang diberikan - Dalam perhatian khusus
AllowanceForImpairmentLossesForLoans_Substandard,Cadangan kerugian penurunan nilai pada pinjaman yang diberikan -  Kurang lancar
AllowanceForImpairmentLossesForLoans_Doubtful,Cadangan kerugian penurunan nilai pada pinjaman yang diberikan - Diragukan
AllowanceForImpairmentLossesForLoans_Loss,Cadangan kerugian penurunan nilai pada pinjaman yang diberikan - Macet
TotalLoansNet,Jumlah pinjaman - Bersih - Total
TotalLoansNet_CurrentMember,Jumlah pinjaman - Bersih - Lancar
TotalLoansNet_SpecialMention,Jumlah pinjaman - Bersih - Dalam perhatian khusus
TotalLoansNet_Substandard,Jumlah pinjaman - Bersih - Kurang lancar
TotalLoansNet_Doubtful,Jumlah pinjaman - Bersih - Diragukan
TotalLoansNet_Loss,Jumlah pinjaman - Bersih - Macet
